PropertyNumber,Suburb,State,Postcode,Category,PropertySalePrice,from_unixtime(PropertySaleDate),NumberOfBedrooms
122565662,Footscray,Vic,3011,House,735000,"2016-07-07 00:00:00",2
122594902,Footscray,Vic,3011,Townhouse,410000,"2016-09-23 00:00:00",2
122595322,Footscray,Vic,3011,Townhouse,535000,"2016-08-25 00:00:00",2
122597582,Footscray,Vic,3011,House,767500,"2016-05-28 00:00:00",3
122622038,Footscray,Vic,3011,Apartment,325000,"2016-06-04 00:00:00",2
122627414,Footscray,Vic,3011,House,845000,"2016-05-29 00:00:00",4
122628502,Footscray,Vic,3011,Apartment,370000,"2016-11-19 00:00:00",2
122659358,Footscray,Vic,3011,Apartment,185000,"2016-06-09 00:00:00",1
122662694,Footscray,Vic,3011,Apartment,300000,"2016-10-18 00:00:00",2
122665954,Footscray,Vic,3011,House,1410000,"2016-07-01 00:00:00",9
122668214,Footscray,Vic,3011,Apartment,310000,"2016-07-06 00:00:00",1
122678082,Footscray,Vic,3011,Apartment,665000,"2016-06-18 00:00:00",3
122690166,Footscray,Vic,3011,House,760000,"2016-06-11 00:00:00",3
122697662,Footscray,Vic,3011,Apartment,370000,"2016-06-20 00:00:00",2
122704442,Footscray,Vic,3011,House,840000,"2016-06-07 00:00:00",3
122709942,Footscray,Vic,3011,House,711000,"2016-06-16 00:00:00",2
122775654,Footscray,Vic,3011,Unit,561000,"2016-06-23 00:00:00",3
122787138,Footscray,Vic,3011,Townhouse,735000,"2016-06-25 00:00:00",3
122795562,Footscray,Vic,3011,Apartment,316000,"2016-06-25 00:00:00",2
122798226,Footscray,Vic,3011,House,792000,"2016-07-02 00:00:00",3
122800034,Footscray,Vic,3011,Apartment,360000,"2016-06-21 00:00:00",2
122800678,Footscray,Vic,3011,House,800000,"2016-06-25 00:00:00",2
122811350,Footscray,Vic,3011,House,823000,"2016-06-25 00:00:00",2
122811418,Footscray,Vic,3011,Apartment,375000,"2016-07-07 00:00:00",2
122823886,Footscray,Vic,3011,House,845000,"2016-07-02 00:00:00",2
122860130,Footscray,Vic,3011,Apartment,465000,"2016-08-09 00:00:00",3
122867894,Footscray,Vic,3011,Unit,359000,"2016-07-02 00:00:00",2
122870674,Footscray,Vic,3011,Apartment,480000,"2016-07-01 00:00:00",2
122872838,Footscray,Vic,3011,House,1045000,"2016-07-20 00:00:00",3
122892694,Footscray,Vic,3011,Apartment,476000,"2016-07-05 00:00:00",2
122899698,Footscray,Vic,3011,Apartment,500000,"2016-08-01 00:00:00",2
122917294,Footscray,Vic,3011,House,775000,"2016-06-23 00:00:00",3
122930666,Footscray,Vic,3011,House,747000,"2016-07-16 00:00:00",3
122960158,Footscray,Vic,3011,Townhouse,455000,"2016-07-16 00:00:00",2
122960750,Footscray,Vic,3011,Apartment,571000,"2016-07-18 00:00:00",2
122965742,Footscray,Vic,3011,Apartment,286000,"2016-08-16 00:00:00",1
122966806,Footscray,Vic,3011,Apartment,216000,"2016-10-28 00:00:00",1
122966918,Footscray,Vic,3011,Apartment,420000,"2016-06-30 00:00:00",2
122984502,Footscray,Vic,3011,House,980000,"2016-07-26 00:00:00",3
